Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
01/11/2025,Real Madrid,Valencia,4,0,H,3,0,H,Mateo Busquets,21,4,11,1,14,7,7,1,1,1,0,0,1.17,8.0,15.0
02/11/2025,Levante,Celta,1,2,A,0,1,A,Alejandro Quintero,9,20,3,6,10,12,4,4,2,3,1,0,2.88,3.4,2.45
02/11/2025,Alaves,Espanol,2,1,H,2,0,H,Guillermo Cuadra,13,18,4,2,14,12,1,6,4,2,1,0,2.38,3.0,3.3
02/11/2025,Barcelona,Elche,3,1,H,2,1,H,Miguel Sesma,17,9,5,3,12,16,6,3,0,1,0,0,1.22,6.25,12.0
02/11/2025,Betis,Mallorca,3,0,H,3,0,H,Jesús Gil,15,14,8,1,9,8,4,5,0,3,0,0,1.57,4.2,5.25
03/11/2025,Oviedo,Osasuna,0,0,D,0,0,D,José Guzmán,8,11,2,5,17,17,4,2,3,1,0,0,3.0,3.1,2.5
07/11/2025,Elche,Sociedad,1,1,D,0,0,D,Isidro Díaz de Mera,12,13,3,5,14,15,1,3,1,3,0,0,2.7,3.2,2.7
08/11/2025,Girona,Alaves,1,0,H,1,0,H,Adrián Cordero,10,14,2,5,9,15,6,1,0,3,0,0,2.4,3.25,3.0
08/11/2025,Sevilla,Osasuna,1,0,H,0,0,D,Miguel Ángel Ortiz Arias,10,9,4,3,21,13,5,6,5,3,0,0,2.15,3.3,3.5
08/11/2025,Ath Madrid,Levante,3,1,H,1,1,D,Jesús Gil,25,6,10,3,5,6,21,4,3,1,0,0,1.22,6.5,12.0
08/11/2025,Espanol,Villarreal,0,2,A,0,1,A,Alejandro Hernández,14,9,3,3,9,9,4,2,0,2,0,0,2.8,3.5,2.38
09/11/2025,Ath Bilbao,Oviedo,1,0,H,1,0,H,César Soto,21,5,7,2,12,8,7,4,1,1,0,0,1.5,3.8,8.0
09/11/2025,Vallecano,Real Madrid,0,0,D,0,0,D,Juan Martínez,13,21,2,5,17,7,5,8,3,2,0,0,5.25,5.0,1.5
09/11/2025,Mallorca,Getafe,1,0,H,1,0,H,Ricardo de Burgos,6,14,4,3,15,8,1,14,0,2,0,0,2.5,2.9,3.2
09/11/2025,Valencia,Betis,1,1,D,0,0,D,Víctor García,17,9,4,2,13,10,7,2,3,3,0,0,3.3,3.4,2.2
09/11/2025,Celta,Barcelona,2,4,A,2,3,A,Javier Alberola,5,21,3,9,13,10,2,5,1,5,0,1,4.5,4.2,1.65
21/11/2025,Valencia,Levante,1,0,H,0,0,D,Alejandro Muñíz,14,8,3,1,16,15,7,0,4,3,0,0,2.0,3.5,3.7
22/11/2025,Alaves,Celta,0,1,A,0,0,D,Juan Martínez,5,7,2,4,21,15,4,2,2,2,0,0,2.6,3.0,2.9
22/11/2025,Barcelona,Ath Bilbao,4,0,H,2,0,H,Jose Maria Sánchez,19,13,7,2,9,9,5,7,0,2,0,1,1.36,5.5,7.0
22/11/2025,Osasuna,Sociedad,1,3,A,1,0,H,Mateo Busquets,14,19,4,9,13,7,3,3,3,2,1,0,2.8,3.1,2.7
22/11/2025,Villarreal,Mallorca,2,1,H,1,1,D,José Guzmán,14,9,7,3,17,8,3,1,2,2,0,0,1.44,4.75,7.0
23/11/2025,Oviedo,Vallecano,0,0,D,0,0,D,Alejandro Quintero,8,11,3,3,11,13,5,6,1,2,1,1,3.5,3.2,2.2
23/11/2025,Betis,Girona,1,1,D,0,1,A,Iosu Galech,23,11,7,4,10,16,8,0,3,4,1,0,1.53,4.33,5.75
23/11/2025,Getafe,Ath Madrid,0,1,A,0,0,D,Guillermo Cuadra,9,13,1,6,9,17,6,7,2,3,0,0,5.25,3.5,1.73
23/11/2025,Elche,Real Madrid,2,2,D,0,0,D,Francisco Hernández,15,20,6,7,10,8,2,8,4,0,1,0,7.0,5.25,1.38
24/11/2025,Espanol,Sevilla,2,1,H,0,0,D,Miguel Sesma,8,22,5,6,18,7,4,13,4,1,0,0,2.05,3.3,3.8
28/11/2025,Getafe,Elche,1,0,H,0,0,D,Alejandro Hernández,15,9,6,4,18,11,3,5,2,2,0,0,2.25,2.88,3.8
29/11/2025,Mallorca,Osasuna,2,2,D,0,0,D,Jesús Gil,7,14,4,2,10,15,2,8,3,4,0,0,2.35,3.0,3.4
29/11/2025,Barcelona,Alaves,3,1,H,2,1,H,Miguel Ángel Ortiz Arias,18,9,6,2,10,17,5,4,2,3,0,0,1.2,7.0,13.0
29/11/2025,Levante,Ath Bilbao,0,2,A,0,2,A,Adrián Cordero,11,14,4,4,11,19,4,2,3,2,0,0,3.5,3.3,2.15
29/11/2025,Ath Madrid,Oviedo,2,0,H,2,0,H,Víctor Acosta,14,12,8,1,5,8,7,2,0,1,0,0,1.2,6.25,17.0
30/11/2025,Sociedad,Villarreal,2,3,A,0,1,A,César Soto,18,10,7,5,15,18,8,2,3,7,0,0,2.8,3.4,2.45
30/11/2025,Sevilla,Betis,0,2,A,0,0,D,José Luis Munuera,9,9,3,4,14,22,6,4,2,3,1,0,3.0,3.3,2.38
30/11/2025,Celta,Espanol,0,1,A,0,0,D,Isidro Díaz de Mera,11,9,4,2,12,15,4,3,1,2,0,0,2.05,3.5,3.5
30/11/2025,Girona,Real Madrid,1,1,D,1,0,H,Ricardo de Burgos,10,25,4,4,9,13,2,5,3,0,0,0,6.5,5.25,1.4
01/12/2025,Vallecano,Valencia,1,1,D,1,0,H,Javier Alberola,19,10,7,2,11,9,10,5,1,1,0,0,1.95,3.4,4.1
02/12/2025,Barcelona,Ath Madrid,3,1,H,1,1,D,Ricardo de Burgos,19,7,6,2,12,9,5,4,1,1,0,0,1.73,4.2,4.1
03/12/2025,Ath Bilbao,Real Madrid,0,3,A,0,2,A,Jesús Gil,9,13,4,8,15,4,5,7,2,0,0,0,4.1,3.9,1.8
05/12/2025,Oviedo,Mallorca,0,0,D,0,0,D,Iosu Galech,15,13,3,6,14,12,8,5,2,1,2,0,2.55,3.0,3.0
06/12/2025,Villarreal,Getafe,2,0,H,1,0,H,Mateo Busquets,10,6,5,0,19,15,5,3,2,4,0,1,1.62,3.8,5.75
06/12/2025,Alaves,Sociedad,1,0,H,1,0,H,Javier Alberola,14,10,3,1,20,16,5,8,2,2,0,0,2.8,2.9,2.8
06/12/2025,Betis,Barcelona,3,5,A,1,4,A,Francisco Hernández,17,16,5,8,14,9,7,7,5,2,0,0,4.0,4.5,1.73
06/12/2025,Ath Bilbao,Ath Madrid,1,0,H,0,0,D,Alejandro Muñíz,14,7,3,3,9,12,5,6,3,2,0,0,3.25,3.25,2.25
07/12/2025,Elche,Girona,3,0,H,1,0,H,Miguel Sesma,11,8,6,4,18,13,2,2,0,3,0,0,2.15,3.3,3.5
07/12/2025,Valencia,Sevilla,1,1,D,0,0,D,Guillermo Cuadra,11,4,3,1,12,18,2,2,3,6,0,0,2.15,3.4,3.4
07/12/2025,Espanol,Vallecano,1,0,H,1,0,H,Jose Maria Sánchez,9,6,2,2,19,22,6,2,4,8,1,1,2.25,3.4,3.2
07/12/2025,Real Madrid,Celta,0,2,A,0,0,D,Alejandro Quintero,23,7,7,5,6,12,8,1,6,1,3,0,1.3,5.5,9.5
08/12/2025,Osasuna,Levante,2,0,H,2,0,H,José Guzmán,14,11,6,5,15,7,3,3,2,2,0,0,1.73,3.8,4.5
12/12/2025,Sociedad,Girona,1,2,A,1,0,H,Miguel Ángel Ortiz Arias,9,14,4,3,20,5,4,3,1,2,0,0,1.75,3.9,4.5
13/12/2025,Ath Madrid,Valencia,2,1,H,1,0,H,César Soto,10,13,6,2,13,11,5,7,3,1,0,0,1.3,5.0,11.0
13/12/2025,Mallorca,Elche,3,1,H,1,1,D,José Luis Munuera,15,9,8,0,13,13,1,1,3,0,0,0,2.45,3.1,3.1
13/12/2025,Barcelona,Osasuna,2,0,H,0,0,D,Adrián Cordero,24,3,7,2,5,8,14,1,0,3,0,0,1.2,7.0,12.0
13/12/2025,Getafe,Espanol,0,1,A,0,0,D,Jesús Gil,11,6,1,4,18,17,6,4,5,1,0,0,2.5,2.8,3.25
14/12/2025,Sevilla,Oviedo,4,0,H,2,0,H,Isidro Díaz de Mera,13,5,7,1,11,12,5,3,1,2,0,1,1.91,3.4,4.2
14/12/2025,Celta,Ath Bilbao,2,0,H,0,0,D,Alejandro Hernández,5,14,2,2,11,13,1,4,3,2,0,0,2.63,3.25,2.75
14/12/2025,Alaves,Real Madrid,1,2,A,0,1,A,Víctor García,6,13,2,6,12,13,5,7,3,1,0,0,5.5,4.0,1.6
15/12/2025,Vallecano,Betis,0,0,D,0,0,D,Ricardo de Burgos,23,13,7,6,10,7,8,3,4,1,0,0,2.55,3.4,2.75
19/12/2025,Valencia,Mallorca,1,1,D,0,1,A,Alejandro Quintero,17,4,2,2,10,12,12,3,2,3,0,0,1.9,3.0,4.0
20/12/2025,Oviedo,Celta,0,0,D,0,0,D,Francisco Hernández,10,6,3,2,14,7,4,3,2,1,0,0,3.6,3.4,2.05
20/12/2025,Levante,Sociedad,1,1,D,0,1,A,Guillermo Cuadra,13,18,3,6,16,13,7,10,6,2,0,0,3.4,3.4,2.15
20/12/2025,Osasuna,Alaves,3,0,H,0,0,D,César Soto,16,7,7,3,16,11,9,0,2,2,0,0,2.2,3.0,3.7
20/12/2025,Real Madrid,Sevilla,2,0,H,1,0,H,Alejandro Muñíz,18,14,8,5,13,19,6,5,2,5,0,1,1.2,7.0,12.0
21/12/2025,Girona,Ath Madrid,0,3,A,0,2,A,José Guzmán,9,14,2,6,7,14,3,4,2,0,0,0,5.0,4.0,1.67
21/12/2025,Villarreal,Barcelona,0,2,A,0,1,A,Javier Alberola,14,19,5,5,10,8,5,10,1,1,1,0,3.4,4.75,1.83
21/12/2025,Elche,Vallecano,4,0,H,1,0,H,Adrián Cordero,18,18,6,8,15,11,4,5,2,3,0,0,2.4,3.1,3.2
21/12/2025,Betis,Getafe,4,0,H,1,0,H,Miguel Sesma,19,15,8,3,13,12,7,5,0,1,0,0,1.7,3.5,5.5
22/12/2025,Ath Bilbao,Espanol,1,2,A,1,1,D,Mateo Busquets,17,10,7,5,10,9,8,4,5,2,0,0,1.75,3.6,5.0
