Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Home_PPDA,Away_PPDA
21/10/18,Betis,Valladolid,0,1,A,0,1,A,Hsu Jason,20,6,4,2,7,10,9,6,0,4,0,0,1.61,3.8,6.0,6.438,23.083
21/10/18,Eibar,Ath Bilbao,1,1,D,1,1,D,Jesús Gil,18,6,6,3,7,13,8,2,2,3,0,0,2.7,3.2,2.75,4.893,11.353
21/10/18,Huesca,Espanol,0,2,A,0,1,A,Eduardo Prieto,10,6,2,2,21,14,6,4,3,3,0,0,3.5,3.3,2.14,6.686,8.5
21/10/18,Vallecano,Getafe,1,2,A,0,0,D,Mario Melero,10,5,3,2,14,25,6,2,5,5,1,0,2.9,3.3,2.5,3.391,6.781
22/10/18,Sociedad,Girona,0,0,D,0,0,D,Pablo González,14,12,8,2,14,15,7,6,3,1,0,0,1.72,3.75,5.0,7.92,9.741
24/10/18,Vallecano,Ath Bilbao,1,1,D,1,0,H,Guillermo Cuadra,11,12,3,4,14,9,5,4,1,1,0,0,3.3,3.3,2.25,14.087,5.643
26/10/18,Valladolid,Espanol,1,1,D,0,1,A,Adrián Cordero,15,11,2,4,16,16,5,2,4,2,0,0,3.4,3.1,2.25,11.19,9.923
27/10/18,Ath Bilbao,Valencia,0,0,D,0,0,D,Alberto Undiano,13,11,2,3,25,22,5,2,2,5,0,0,2.5,3.3,2.87,6.265,9.44
27/10/18,Ath Madrid,Sociedad,2,0,H,1,0,H,Antonio Matéu Lahoz,14,7,4,0,10,7,10,1,2,1,0,0,1.53,3.8,7.5,5.971,20.214
27/10/18,Celta,Eibar,4,0,H,2,0,H,José González,10,17,6,5,9,8,2,8,0,0,0,0,2.14,3.3,3.6,13.722,5.152
27/10/18,Girona,Vallecano,2,1,H,2,0,H,José Luis Munuera,14,14,6,5,11,16,4,7,1,3,1,0,1.85,3.5,4.5,6.917,11.368
27/10/18,Levante,Leganes,2,0,H,1,0,H,Ricardo de Burgos,9,21,4,6,12,14,3,2,2,2,0,0,2.1,3.25,3.75,14.158,7.48
28/10/18,Alaves,Villarreal,2,1,H,0,1,A,Guillermo Cuadra,19,9,6,2,9,11,8,4,1,1,0,0,3.0,3.2,2.5,10.292,9.4
28/10/18,Barcelona,Real Madrid,5,1,H,2,0,H,José Sánchez,13,15,8,4,17,14,4,2,2,2,0,0,1.95,3.8,3.6,11.769,12.222
28/10/18,Getafe,Betis,2,0,H,0,0,D,Santiago Jaime,16,7,7,3,9,14,5,4,1,2,0,0,2.4,3.1,3.25,10.324,4.0
28/10/18,Sevilla,Huesca,2,1,H,0,0,D,David Medié,15,11,4,2,9,14,4,2,2,3,0,0,1.22,6.5,13.0,11.938,18.167
03/11/18,Leganes,Ath Madrid,1,1,D,0,0,D,Mario Melero,8,9,3,4,18,12,4,7,4,2,0,0,5.75,3.4,1.72,10.792,9.952
03/11/18,Real Madrid,Valladolid,2,0,H,0,0,D,Jesús Gil,16,12,7,2,14,7,8,6,1,0,0,0,1.16,8.0,15.0,7.848,21.615
03/11/18,Valencia,Girona,0,1,A,0,0,D,Hsu Jason,27,5,9,3,14,13,11,2,4,4,0,0,1.5,4.0,7.5,9.75,16.571
03/11/18,Vallecano,Barcelona,2,3,A,1,1,D,Alejandro Hernández,11,9,5,5,23,11,3,1,4,2,0,0,9.5,6.0,1.28,17.087,5.367
04/11/18,Betis,Celta,3,3,D,1,0,H,Daniel Ask,14,14,6,7,12,11,4,4,4,2,0,0,1.8,3.8,4.5,6.292,14.0
04/11/18,Eibar,Alaves,2,1,H,0,1,A,Ignacio Iglesias,23,9,8,3,11,7,13,1,4,0,1,1,2.04,3.3,3.9,3.36,14.929
04/11/18,Huesca,Getafe,1,1,D,0,0,D,Juan Martínez,18,8,7,2,18,13,10,2,5,3,0,0,3.6,3.3,2.1,4.25,8.059
04/11/18,Sociedad,Sevilla,0,0,D,0,0,D,Eduardo Prieto,10,8,1,1,8,17,7,7,1,3,0,0,2.75,3.5,2.45,10.261,9.786
04/11/18,Villarreal,Levante,1,1,D,0,0,D,Carlos del Cerro,23,13,4,2,14,10,5,4,3,3,0,0,1.55,4.0,6.0,4.043,21.083
05/11/18,Espanol,Ath Bilbao,1,0,H,1,0,H,Pablo González,8,10,3,2,15,13,2,1,1,3,0,0,2.0,3.3,4.0,12.13,5.919
09/11/18,Levante,Sociedad,1,3,A,1,0,H,David Medié,17,15,2,4,17,12,6,4,6,1,0,0,2.62,3.4,2.62,6.429,9.778
