Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,Season,Home_EMA_Points,Home_EMA_GS,Home_EMA_GC,Away_EMA_Points,Away_EMA_GS,Away_EMA_GC,Home_Expected_Offense,Away_Expected_Offense,Target
2015-09-26,Real Madrid,Malaga,0,0,D,31,12,9,3,12,6,15-16,2.6049382716049383,2.2716049382716053,0.3333333333333333,0.34567901234567916,0.0,0.654320987654321,0.0,0.0,1
2015-09-27,Getafe,Levante,3,0,H,15,10,8,3,4,4,15-16,0.6666666666666667,0.4691358024691359,1.506172839506173,0.5802469135802469,1.234567901234568,2.098765432098766,0.0,0.0,2
2015-09-27,La Coruna,Espanol,3,0,H,14,7,5,3,7,5,15-16,1.740740740740741,1.6543209876543212,1.2469135802469138,2.2592592592592595,1.2962962962962965,1.62962962962963,0.0,0.0,2
2015-09-27,Sociedad,Ath Bilbao,0,0,D,14,9,4,2,4,2,15-16,1.2962962962962963,1.4444444444444444,0.814814814814815,0.44444444444444453,1.0,1.8765432098765433,0.0,0.0,1
2015-09-27,Sp Gijon,Betis,1,2,A,19,13,10,5,10,4,15-16,0.9629629629629632,1.0,1.2592592592592593,0.8641975308641978,0.6790123456790125,1.358024691358025,0.0,0.0,0
2015-10-02,Celta,Getafe,0,0,D,18,8,7,2,9,1,15-16,2.135802469135803,2.275720164609054,1.1316872427983542,1.4444444444444446,1.3127572016460907,1.0041152263374489,0.0,0.0,1
2015-10-03,Sevilla,Barcelona,2,1,H,12,28,5,9,7,9,15-16,1.2304526748971194,1.2469135802469136,1.703703703703704,2.3333333333333335,1.8765432098765435,1.4691358024691359,0.0,0.0,2
2015-10-03,Malaga,Sociedad,3,1,H,11,13,7,5,2,4,15-16,0.5637860082304528,0.0,0.4362139917695474,1.1975308641975309,0.962962962962963,0.5432098765432101,0.0,0.0,2
2015-10-03,Granada,La Coruna,1,1,D,10,14,3,3,2,5,15-16,0.19753086419753094,0.36213991769547343,1.9053497942386834,2.160493827160494,2.1028806584362143,0.8312757201646093,0.0,0.0,1
2015-10-03,Espanol,Sp Gijon,1,2,A,13,12,9,2,9,1,15-16,1.506172839506173,0.8641975308641978,2.08641975308642,0.6419753086419756,1.0,1.5061728395061729,0.0,0.0,0
2015-10-03,Las Palmas,Eibar,0,2,A,18,9,4,4,3,2,15-16,0.8312757201646092,1.0740740740740742,1.2427983539094651,1.2469135802469138,1.3045267489711936,1.2057613168724282,0.0,0.0,0
