Player,Team,Assists,Matches Played,Coefficient,xA,Season
Gumbau,Vallecano,1,22,0.05,1.8,25-26
F. Viñas,Oviedo,1,27,0.04,1.8,25-26
Luengo,Oviedo,1,3,0.33,0.0,25-26
S. Cazorla,Oviedo,1,21,0.05,1.7,25-26
A. Reina,Oviedo,1,30,0.03,2.1,25-26
Ferran,Barcelona,1,28,0.04,1.5,25-26
M. Casadó,Barcelona,1,20,0.05,0.6,25-26
Gavi,Barcelona,1,5,0.2,0.2,25-26
I. Romero,Levante,1,27,0.04,1.9,25-26
Víctor G.,Levante,1,17,0.06,1.0,25-26
Dela,Levante,1,27,0.04,0.7,25-26
R. Brugué,Levante,1,15,0.07,0.7,25-26
C. Alvarez,Levante,1,27,0.04,4.1,25-26
Marin,Sociedad,1,27,0.04,1.2,25-26
Isma,Getafe,1,4,0.25,5.5,25-26
Gorosabel,Ath Bilbao,1,17,0.06,0.9,25-26
Navarro,Ath Bilbao,1,25,0.04,1.5,25-26
R. De Galarreta,Ath Bilbao,1,28,0.04,2.6,25-26
Guruzeta,Ath Bilbao,1,28,0.04,1.8,25-26
Areso,Ath Bilbao,1,24,0.04,1.3,25-26
Barrios,Ath Madrid,1,21,0.05,2.1,25-26
Griezmann,Ath Madrid,1,27,0.04,2.4,25-26
Raspadori,Ath Madrid,1,12,0.08,0.6,25-26
Molina,Ath Madrid,1,22,0.05,1.3,25-26
Almada,Ath Madrid,1,22,0.05,2.0,25-26
Marc Pubill,Ath Madrid,1,13,0.08,0.6,25-26
Lenglet,Ath Madrid,1,13,0.08,0.4,25-26
Ejuke,Sevilla,1,22,0.05,0.6,25-26
Sow,Sevilla,1,27,0.04,1.1,25-26
Peque,Sevilla,1,22,0.05,2.7,25-26
Javi Rguez,Celta,1,26,0.04,0.7,25-26
Bryan,Celta,1,19,0.05,2.5,25-26
Hugo A.,Celta,1,21,0.05,1.8,25-26
Carreira,Celta,1,27,0.04,1.6,25-26
Papa,Girona,0,0,0.0,5.6,25-26
Blind,Girona,0,28,0.0,1.2,25-26
Gibi,Girona,0,0,0.0,0.2,25-26
Asprilla,Girona,0,15,0.0,5.5,25-26
Pau Navarro,Villarreal,0,19,0.0,1.5,25-26
Ruben,Villarreal,0,0,0.0,1.9,25-26
T. Partey,Villarreal,0,19,0.0,2.0,25-26
Gerard,Villarreal,0,17,0.0,1.8,25-26
J. Ives Valou,Villarreal,0,0,0.0,4.0,25-26
Foyth,Villarreal,0,13,0.0,,25-26
A. Alti,Villarreal,0,1,0.0,1.4,25-26
Júnior R.,Villarreal,0,28,0.0,0.7,25-26
Parejo,Villarreal,0,25,0.0,,25-26
Cabanes,Villarreal,0,0,0.0,1.3,25-26
Rafa Marín,Villarreal,0,19,0.0,1.2,25-26
Cárdenas,Vallecano,0,1,0.0,3.4,25-26
Óscar V.,Vallecano,0,27,0.0,4.0,25-26
Pelayo,Vallecano,0,1,0.0,1.6,25-26
Pedro Díaz,Vallecano,0,28,0.0,1.4,25-26
Pacha,Vallecano,0,24,0.0,,25-26
