Player,Team,Assists,Matches Played,Coefficient,xA,Season
Michel Macedo,Las Palmas,4,25,0.16,,16-17
N. El Zhar,Leganes,4,26,0.15,,16-17
Á. Morata,Real Madrid,4,26,0.15,,16-17
Riza Durmisi,Betis,4,27,0.15,,16-17
O. De Marcos,Ath Bilbao,4,27,0.15,,16-17
F. Vázquez,Sevilla,3,30,0.1,,16-17
Isma López,Sp Gijon,3,27,0.11,,16-17
D. Machís,Leganes,3,27,0.11,,16-17
Nacho,Real Madrid,3,28,0.11,,16-17
T. Inui,Eibar,3,28,0.11,,16-17
P. Sisto,Celta,3,30,0.1,,16-17
T. Bongonda,Celta,3,30,0.1,,16-17
Theo Hernández,Alaves,3,32,0.09,,16-17
W. Ben Yedder,Sevilla,3,31,0.1,,16-17
Ander Capa,Eibar,3,31,0.1,,16-17
Duje Čop,Sp Gijon,3,31,0.1,,16-17
D. Wass,Celta,3,32,0.09,,16-17
N. Sansone,Villarreal,3,32,0.09,,16-17
S. Escudero,Sevilla,3,26,0.12,,16-17
Sergio Busquets,Barcelona,3,33,0.09,,16-17
Saúl,Ath Madrid,3,33,0.09,,16-17
Mateo Kovačić,Real Madrid,3,27,0.11,,16-17
Tito,Leganes,3,23,0.13,,16-17
Denis Suárez,Barcelona,3,26,0.12,,16-17
P. Alcácer,Barcelona,3,21,0.14,,16-17
R. Soldado,Villarreal,3,10,0.3,,16-17
Javi Ontiveros,Malaga,3,18,0.17,,16-17
A. Turan,Barcelona,3,18,0.17,,16-17
Carlos Vigaray,Alaves,3,19,0.16,,16-17
Rodrigo Moreno,Valencia,3,19,0.16,,16-17
A. Katai,Alaves,3,20,0.15,,16-17
L. Vietto,Sevilla,3,21,0.14,,16-17
Marko Livaja,Las Palmas,3,25,0.12,,16-17
Keko Gontán,Malaga,3,22,0.14,,16-17
F. Orellana,Valencia,3,23,0.13,,16-17
C. Piccini,Betis,3,23,0.13,,16-17
S. Nasri,Sevilla,3,23,0.13,,16-17
Andrés Iniesta,Barcelona,3,23,0.13,,16-17
Bueno,Leganes,3,24,0.13,,16-17
J. Dos Santos,Villarreal,3,33,0.09,,16-17
L. Suárez,Barcelona,12,33,0.36,,17-18
L. Messi,Barcelona,12,36,0.33,,17-18
P. Fornals,Villarreal,12,35,0.34,,17-18
K. Benzema,Real Madrid,10,32,0.31,,17-18
P. Sisto,Celta,10,34,0.29,,17-18
G. Guedes,Valencia,9,33,0.27,,17-18
A. Griezmann,Ath Madrid,9,32,0.28,,17-18
A. Guardado,Betis,8,29,0.28,,17-18
J. Luis Morales,Levante,8,35,0.23,,17-18
J. Alba,Barcelona,8,33,0.24,,17-18
D. Wass,Celta,8,35,0.23,,17-18
Cote,Eibar,8,30,0.27,,17-18
Joaquín,Betis,7,35,0.2,,17-18
D. Parejo,Valencia,7,34,0.21,,17-18
Á. Granell,Girona,7,34,0.21,,17-18
L. Vázquez,Real Madrid,7,33,0.21,,17-18
S. Roberto,Barcelona,7,30,0.23,,17-18
Isco,Real Madrid,7,30,0.23,,17-18
T. Kroos,Real Madrid,7,27,0.26,,17-18
A. Barragán,Betis,6,29,0.21,,17-18
L. Pérez,La Coruna,6,35,0.17,,17-18
L. Modrić,Real Madrid,6,26,0.23,,17-18
I. Williams,Ath Bilbao,6,38,0.16,,17-18
Munir El Haddadi,Alaves,6,33,0.18,,17-18
Carlos Soler,Valencia,5,33,0.15,,17-18
Sergio Canales,Sociedad,5,36,0.14,,17-18
D. Suárez,Getafe,4,33,0.12,,17-18
Willian José,Sociedad,4,34,0.12,,17-18
Koke,Ath Madrid,4,35,0.11,,17-18
J. Campaña,Levante,4,35,0.11,,17-18
Á. Odriozola,Sociedad,4,35,0.11,,17-18
Ángel Correa,Ath Madrid,4,37,0.11,,17-18
Pablo Sarabia,Sevilla,4,34,0.12,,17-18
Bernardo,Girona,3,34,0.09,,17-18
É. Banega,Sevilla,3,31,0.1,,17-18
Mario Gaspar,Villarreal,3,32,0.09,,17-18
C. Borges,La Coruna,3,32,0.09,,17-18
F. Portillo,Getafe,3,33,0.09,,17-18
V. Antunes,Getafe,3,34,0.09,,17-18
José Gayà,Valencia,3,34,0.09,,17-18
Saúl,Ath Madrid,3,36,0.08,,17-18
Paulinho,Barcelona,3,34,0.09,,17-18
Joan Jordán,Eibar,3,35,0.09,,17-18
Jorge Molina,Getafe,3,36,0.08,,17-18
Maxi Gómez,Celta,3,36,0.08,,17-18
Léo Baptistão,Espanol,3,36,0.08,,17-18
J. Calleri,Las Palmas,3,37,0.08,,17-18
F. Fajr,Getafe,3,31,0.1,,17-18
D. Zurutuza,Sociedad,3,31,0.1,,17-18
Pedro León,Eibar,3,12,0.25,,17-18
Sergio Busquets,Barcelona,3,31,0.1,,17-18
Juanmi,Sociedad,3,30,0.1,,17-18
Casemiro,Real Madrid,3,30,0.1,,17-18
Florin Andone,La Coruna,3,29,0.1,,17-18
Ivi López,Levante,3,29,0.1,,17-18
José Manuel Jurado,Espanol,3,29,0.1,,17-18
R. Boudebouz,Betis,3,27,0.11,,17-18
J. Guidetti,Alaves,3,25,0.12,,17-18
W. Ben Yedder,Sevilla,3,25,0.12,,17-18
Jonathan Viera,Las Palmas,3,23,0.13,,17-18
Iván Alejo,Eibar,3,22,0.14,,17-18
M. Guerrero,Leganes,3,22,0.14,,17-18
Y. Carrasco,Ath Madrid,3,17,0.18,,17-18
P. Alcácer,Barcelona,3,17,0.18,,17-18
Diego Costa,Ath Madrid,3,15,0.2,,17-18
Rodri,Villarreal,3,37,0.08,,17-18
Pablo Sarabia,Sevilla,13,33,0.39,,18-19
L. Messi,Barcelona,13,34,0.38,,18-19
Jony,Alaves,11,36,0.31,,18-19
Santi Cazorla,Villarreal,10,35,0.29,,18-19
W. Ben Yedder,Sevilla,9,35,0.26,,18-19
J. Campaña,Levante,9,36,0.25,,18-19
Jordi Alba,Barcelona,8,36,0.22,,18-19
Moi Gómez,Huesca,8,36,0.22,,18-19
A. Griezmann,Ath Madrid,8,37,0.22,,18-19
Sergi Roberto,Barcelona,7,29,0.24,,18-19
