Player,Team,Goals,Matches Played,Coefficient,Season,xG
M. Neto,Elche,2,22,0.09,25-26,0.8
Febas,Elche,2,29,0.07,25-26,1.9
Lo Celso,Betis,2,17,0.12,25-26,2.4
Catena,Osasuna,2,28,0.07,25-26,2.7
Rubén García,Osasuna,2,27,0.07,25-26,1.5
E. Militão,Real Madrid,2,15,0.13,25-26,1.8
Huijsen,Real Madrid,2,23,0.09,25-26,2.2
Asencio,Real Madrid,2,20,0.1,25-26,1.2
Á. Carreras,Real Madrid,2,25,0.08,25-26,0.3
Oluwaseyi,Villarreal,2,23,0.09,25-26,3.2
Ayoze,Villarreal,2,18,0.11,25-26,3.4
Bernal,Barcelona,2,17,0.12,25-26,1.0
N. Mendy,Vallecano,2,18,0.11,25-26,1.6
Lookman,Ath Madrid,2,7,0.29,25-26,1.8
G. Rodriguez,Valencia,2,8,0.25,25-26,0.8
Arnau,Girona,1,28,0.04,25-26,0.7
Mouriño,Villarreal,1,22,0.05,25-26,1.1
Rafa Marín,Villarreal,1,18,0.06,25-26,0.4
Óscar V.,Vallecano,1,25,0.04,25-26,1.0
Pep Chavarria,Vallecano,1,25,0.04,25-26,0.6
Ilic,Oviedo,1,18,0.06,25-26,0.7
Kounde,Barcelona,1,25,0.04,25-26,1.6
Cubarsí,Barcelona,1,24,0.04,25-26,0.5
Eric,Barcelona,1,27,0.04,25-26,1.6
F. De Jong,Barcelona,1,19,0.05,25-26,1.2
Toljan,Levante,1,28,0.04,25-26,1.0
Elgezabal,Levante,1,12,0.08,25-26,0.7
P. Martínez,Levante,1,18,0.06,25-26,1.7
Manu Sánchez,Levante,1,25,0.04,25-26,0.7
Caleta-Car,Sociedad,1,20,0.05,25-26,1.1
Aramburu,Sociedad,1,27,0.04,25-26,1.9
Javi Guerra,Valencia,1,28,0.04,25-26,1.7
Santamaria,Valencia,1,19,0.05,25-26,0.4
Gayà,Valencia,1,25,0.04,25-26,0.8
Diakhaby,Valencia,1,8,0.13,25-26,0.5
Mascarell,Mallorca,1,22,0.05,25-26,0.1
Mateu Jaume,Mallorca,1,16,0.06,25-26,0.3
Asano,Mallorca,1,15,0.07,25-26,0.5
S. Darder,Mallorca,1,29,0.03,25-26,2.0
Morlanes,Mallorca,1,23,0.04,25-26,1.9
A. J. Morales,Levante,1,19,0.05,25-26,1.9
Guevara,Alaves,1,19,0.05,25-26,0.2
A. Rebbach,Alaves,1,22,0.05,25-26,2.1
Ibáñez,Alaves,1,28,0.04,25-26,4.1
Blanco,Alaves,1,27,0.04,25-26,1.1
N. Tenaglia,Alaves,1,27,0.04,25-26,1.3
Pol Lozano,Espanol,1,26,0.04,25-26,0.7
Miguel Rubio,Espanol,1,11,0.09,25-26,0.7
Dolan,Espanol,1,28,0.04,25-26,0.3
R. Terrats,Espanol,1,21,0.05,25-26,1.0
Edu Expósito,Espanol,1,27,0.04,25-26,2.0
Jofre,Espanol,1,21,0.05,25-26,1.8
Uche,Getafe,1,3,0.33,25-26,
Iglesias,Getafe,1,28,0.04,25-26,1.0
Vivian,Ath Bilbao,1,24,0.04,25-26,1.2
Iglesias,Getafe,1,29,0.03,25-26,1.0
Vivian,Ath Bilbao,1,25,0.04,25-26,1.2
Paredes,Ath Bilbao,1,17,0.06,25-26,1.1
R. De Galarreta,Ath Bilbao,1,27,0.04,25-26,0.7
Maroan,Ath Bilbao,1,9,0.11,25-26,2.0
Nico Serrano,Ath Bilbao,1,13,0.08,25-26,0.7
Rego,Ath Bilbao,1,21,0.05,25-26,2.6
Barrios,Ath Madrid,1,21,0.05,25-26,1.8
Le Normand,Ath Madrid,1,22,0.05,25-26,0.4
Carmona,Sevilla,1,28,0.04,25-26,1.0
Ejuke,Sevilla,1,22,0.05,25-26,1.3
Kike Salas,Sevilla,1,18,0.06,25-26,0.9
Lukébakio,Sevilla,1,2,0.5,25-26,0.1
Agoumé,Sevilla,1,26,0.04,25-26,0.8
Gudelj,Sevilla,1,26,0.04,25-26,1.0
Miguel,Celta,1,19,0.05,25-26,0.7
Oscar,Celta,1,26,0.04,25-26,0.2
Bryan,Celta,1,19,0.05,25-26,1.8
Marquitos,Celta,1,25,0.04,25-26,0.8
Ávila Chimy,Betis,1,12,0.08,25-26,0.2
S. Altimira,Betis,1,20,0.05,25-26,0.3
Bellerín,Betis,1,18,0.06,25-26,0.4
Bartra,Betis,1,22,0.05,25-26,0.8
A. Osambela,Osasuna,1,13,0.08,25-26,0.3
Abel Bretones,Osasuna,1,22,0.05,25-26,0.6
Boyomo,Osasuna,1,22,0.05,25-26,0.8
Kike Barja,Osasuna,1,19,0.05,25-26,7.8
Tchouameni,Real Madrid,1,26,0.04,25-26,2.3
Fran García,Real Madrid,1,9,0.11,25-26,0.7
Mastantuono,Real Madrid,1,16,0.06,25-26,2.3
E. Militão,Real Madrid,1,13,0.08,25-26,1.8
Rodrygo,Real Madrid,1,19,0.05,25-26,2.6
Gorrotxa,Sociedad,1,25,0.04,25-26,0.7
Witsel,Girona,1,23,0.04,25-26,2.3
Rüdiger,Real Madrid,1,12,0.08,25-26,0.9
Dendoncker,Oviedo,1,19,0.05,25-26,0.8
E. Bailly,Oviedo,1,9,0.11,25-26,0.3
David Costas,Oviedo,1,19,0.05,25-26,0.7
Domingos D.,Getafe,1,26,0.04,25-26,0.8
Unai G.,Ath Bilbao,1,20,0.05,25-26,1.5
Oso,Sevilla,1,13,0.08,25-26,1.0
Pickel,Espanol,1,17,0.06,25-26,0.8
Denis Suárez,Alaves,1,22,0.05,25-26,0.9
Llorente R.,Betis,1,12,0.08,25-26,0.8
Olasagasti,Levante,1,25,0.04,25-26,1.2
I. Benito,Osasuna,1,5,0.2,25-26,0.6
David Carmo,Oviedo,1,21,0.05,25-26,0.9
Pedrosa,Elche,1,21,0.05,25-26,1.5
Adam B.,Elche,1,7,0.14,25-26,0.0
H. Fort,Elche,1,9,0.11,25-26,0.5
Diang,Elche,1,17,0.06,25-26,1.0
B. Mendy,Sevilla,1,24,0.04,25-26,1.6
Odriozola,Sociedad,1,5,0.2,25-26,0.5
Kiko F.,Getafe,1,24,0.04,25-26,0.7
Solomon,Villarreal,1,6,0.17,25-26,0.4
Jan Virgili,Mallorca,1,24,0.04,25-26,2.3
Roony,Barcelona,1,16,0.06,25-26,6.9
Alemâo,Vallecano,1,19,0.05,25-26,3.2
Maffeo,Mallorca,1,25,0.04,25-26,0.4
Camavinga,Real Madrid,1,23,0.04,25-26,1.1
J. Boñar,Ath Madrid,1,1,1.0,25-26,0.3
Joao Cancelo,Barcelona,1,9,0.11,25-26,0.4
Ángel P.,Alaves,1,9,0.11,25-26,0.8
Fer López,Celta,1,10,0.1,25-26,0.8
Maupay,Sevilla,1,6,0.17,25-26,0.7
T. Morente,Elche,1,6,0.17,25-26,0.5
Mendoza,Ath Madrid,1,21,0.05,25-26,0.8
Fidalgo,Betis,1,6,0.17,25-26,0.5
Ibrahim,Alaves,1,3,0.33,25-26,0.8
Portu,Girona,0,10,0.0,25-26,1.4
Gazzaniga,Girona,0,28,0.0,25-26,1.0
A. Francés,Girona,0,19,0.0,25-26,0.5
Juan Carlos,Girona,0,0,0.0,25-26,0.4
David Lopez,Girona,0,4,0.0,25-26,0.3
Miovski,Girona,0,1,0.0,25-26,
Krejci,Girona,0,2,0.0,25-26,0.1
Krapyvtsov,Girona,0,2,0.0,25-26,
Jhon Solis,Girona,0,12,0.0,25-26,0.2
Iván Martín,Girona,0,29,0.0,25-26,0.8
Papa,Girona,0,0,0.0,25-26,9.8
Blind,Girona,0,28,0.0,25-26,0.3
Gibi,Girona,0,0,0.0,25-26,
Asprilla,Girona,0,15,0.0,25-26,0.6
Pau Navarro,Villarreal,0,19,0.0,25-26,0.0
Foyth,Villarreal,0,13,0.0,25-26,0.1
A. Alti,Villarreal,0,1,0.0,25-26,1.0
Júnior R.,Villarreal,0,27,0.0,25-26,0.5
Parejo,Villarreal,0,24,0.0,25-26,0.2
Cabanes,Villarreal,0,0,0.0,25-26,4.1
