Player,Team,Goals,Matches Played,Coefficient,Season,xG
A. Sanabria,Betis,8,17,0.47,17-18,
L. Rémy,Getafe,8,23,0.35,17-18,
Charles,Eibar,8,30,0.27,17-18,
Juanmi,Sociedad,8,30,0.27,17-18,
Lucas Pérez,La Coruna,8,35,0.23,17-18,
Kike García,Eibar,8,35,0.23,17-18,
Léo Baptistão,Espanol,8,36,0.22,17-18,
Ángel Correa,Ath Madrid,8,37,0.22,17-18,
Ibai Gómez,Alaves,7,34,0.21,17-18,
I. Williams,Ath Bilbao,7,38,0.18,17-18,
A. Illarramendi,Sociedad,7,36,0.19,17-18,
Jorge Molina,Getafe,7,36,0.19,17-18,
Dani Parejo,Valencia,7,34,0.21,17-18,
Loren Morón,Betis,7,15,0.47,17-18,
Isco,Real Madrid,7,30,0.23,17-18,
Florin Andone,La Coruna,7,29,0.24,17-18,
Kévin Gameiro,Ath Madrid,7,25,0.28,17-18,
P. Coutinho,Barcelona,7,18,0.39,17-18,
Joan Jordán,Eibar,6,35,0.17,17-18,
Pablo Sarabia,Sevilla,6,34,0.18,17-18,
M. Asensio,Real Madrid,6,32,0.19,17-18,
Enes Ünal,Villarreal,6,30,0.2,17-18,
E. Boateng,Levante,6,25,0.24,17-18,
Samu Castillejo,Villarreal,6,30,0.2,17-18,
Casemiro,Real Madrid,5,30,0.17,17-18,
Juanpe,Girona,5,35,0.14,17-18,
T. Inui,Eibar,5,34,0.15,17-18,
G. Guedes,Valencia,5,33,0.15,17-18,
K. Benzema,Real Madrid,5,32,0.16,17-18,
P. Sisto,Celta,5,34,0.15,17-18,
G. Pires,Leganes,5,29,0.17,17-18,
Toni Kroos,Real Madrid,5,27,0.19,17-18,
Fernando Torres,Ath Madrid,5,27,0.19,17-18,
D. Rolan,Malaga,5,26,0.19,17-18,
N. Sansone,Villarreal,5,18,0.28,17-18,
F. Vázquez,Sevilla,4,30,0.13,17-18,
Sergio Canales,Sociedad,4,36,0.11,17-18,
Koke,Ath Madrid,4,35,0.11,17-18,
D. Wass,Celta,4,35,0.11,17-18,
Joaquín,Betis,4,35,0.11,17-18,
Javier Eraso,Leganes,4,34,0.12,17-18,
Lucas Vázquez,Real Madrid,4,33,0.12,17-18,
Cristian Tello,Betis,4,32,0.13,17-18,
Nolito,Sevilla,4,30,0.13,17-18,
G. Kondogbia,Valencia,4,31,0.13,17-18,
Ivi López,Levante,4,29,0.14,17-18,
M. Guerrero,Leganes,4,22,0.18,17-18,
Sergio Ramos,Real Madrid,4,26,0.15,17-18,
P. Alcácer,Barcelona,4,17,0.24,17-18,
M. Bergara,Getafe,4,18,0.22,17-18,
Iker Muniain,Ath Bilbao,4,14,0.29,17-18,
Jonathan Viera,Las Palmas,4,23,0.17,17-18,
Y. En-Nesyri,Malaga,4,25,0.16,17-18,
Chory Castro,Malaga,4,26,0.15,17-18,
Borja Valle,La Coruna,3,17,0.18,17-18,
Diego Llorente,Sociedad,3,27,0.11,17-18,
Xabi Prieto,Sociedad,3,26,0.12,17-18,
J. Guidetti,Alaves,3,25,0.12,17-18,
A. Elustondo,Sociedad,3,19,0.16,17-18,
Sergi Enrich,Eibar,3,19,0.16,17-18,
Coke Andújar,Levante,3,17,0.18,17-18,
F. Orellana,Eibar,3,17,0.18,17-18,
I. Ramis,Eibar,3,16,0.19,17-18,
O. Dembélé,Barcelona,3,17,0.18,17-18,
Roger Martí,Levante,3,17,0.18,17-18,
Y. Carrasco,Ath Madrid,3,17,0.18,17-18,
Diego Costa,Ath Madrid,3,15,0.2,17-18,
Z. Feddal,Betis,3,15,0.2,17-18,
M. Olunga,Girona,3,14,0.21,17-18,
B. Mayoral,Real Madrid,3,14,0.21,17-18,
Nacho,Real Madrid,3,27,0.11,17-18,
L. Messi,Barcelona,36,34,1.06,18-19,
K. Benzema,Real Madrid,21,36,0.58,18-19,
L. Suárez,Barcelona,21,33,0.64,18-19,
Iago Aspas,Celta,20,27,0.74,18-19,
C. Stuani,Girona,19,32,0.59,18-19,
W. Ben Yedder,Sevilla,18,35,0.51,18-19,
Borja Iglesias,Espanol,17,37,0.46,18-19,
A. Griezmann,Ath Madrid,15,37,0.41,18-19,
J. Mata,Getafe,14,34,0.41,18-19,
Jorge Molina,Getafe,14,38,0.37,18-19,
Charles,Eibar,14,34,0.41,18-19,
Raúl De Tomás,Vallecano,14,33,0.42,18-19,
Roger Martí,Levante,13,31,0.42,18-19,
M. Oyarzabal,Sociedad,13,37,0.35,18-19,
Maxi Gómez,Celta,13,35,0.37,18-19,
Pablo Sarabia,Sevilla,12,33,0.36,18-19,
Morales,Levante,12,37,0.32,18-19,
I. Williams,Ath Bilbao,12,38,0.32,18-19,
Willian José,Sociedad,11,31,0.35,18-19,
Toko Ekambi,Villarreal,10,34,0.29,18-19,
Chimy Ávila,Huesca,10,34,0.29,18-19,
Portu,Girona,9,34,0.26,18-19,
Dani Parejo,Valencia,9,36,0.25,18-19,
J. Calleri,Alaves,9,34,0.26,18-19,
Raúl García,Ath Bilbao,9,33,0.27,18-19,
André Silva,Sevilla,9,27,0.33,18-19,
G. Lo Celso,Betis,9,32,0.28,18-19,
G. Bale,Real Madrid,8,29,0.28,18-19,
O. Dembélé,Barcelona,8,29,0.28,18-19,
Y. En-Nesyri,Leganes,8,31,0.26,18-19,
Rodrigo Moreno,Valencia,8,33,0.24,18-19,
Gerard Moreno,Villarreal,8,35,0.23,18-19,
Ángel,Getafe,8,37,0.22,18-19,
Iker Muniain,Ath Bilbao,7,34,0.21,18-19,
Sergi Enrich,Eibar,7,35,0.2,18-19,
Santi Mina,Valencia,7,30,0.23,18-19,
Sergio Canales,Betis,7,32,0.22,18-19,
G. Carrillo,Leganes,6,32,0.19,18-19,
Enes Ünal,Valladolid,6,33,0.18,18-19,
Loren Morón,Betis,6,33,0.18,18-19,
Kévin Gameiro,Valencia,6,33,0.18,18-19,
C. Bacca,Villarreal,6,33,0.18,18-19,
Á. Morata,Ath Madrid,6,15,0.4,18-19,
Brais Méndez,Celta,6,31,0.19,18-19,
Joaquín,Betis,6,30,0.2,18-19,
Sergio Ramos,Real Madrid,6,28,0.21,18-19,
Munir,Sevilla,6,23,0.26,18-19,
Adrián Embarba,Vallecano,5,36,0.14,18-19,
P. Coutinho,Barcelona,5,34,0.15,18-19,
Juanmi,Sociedad,5,30,0.17,18-19,
Borja Bastón,Alaves,5,27,0.19,18-19,
S. Chukwueze,Villarreal,5,26,0.19,18-19,
Enric Gallego,Huesca,5,19,0.26,18-19,
G. Guedes,Valencia,5,25,0.2,18-19,
Saúl,Ath Madrid,4,33,0.12,18-19,
J. Campaña,Levante,4,36,0.11,18-19,
Joan Jordán,Eibar,4,36,0.11,18-19,
Jony,Alaves,4,36,0.11,18-19,
Santi Cazorla,Villarreal,4,35,0.11,18-19,
Álvaro García,Vallecano,4,35,0.11,18-19,
Sergi Darder,Espanol,4,34,0.12,18-19,
Cucho,Huesca,4,34,0.12,18-19,
G. Piqué,Barcelona,4,35,0.11,18-19,
G. Escalante,Eibar,4,32,0.13,18-19,
Óscar Rodríguez,Leganes,4,31,0.13,18-19,
Cristian Tello,Betis,4,29,0.14,18-19,
Rubén Rochina,Levante,4,27,0.15,18-19,
Coke Andújar,Levante,4,27,0.15,18-19,
N. El Zhar,Leganes,4,27,0.15,18-19,
Álex Gallar,Huesca,4,25,0.16,18-19,
Etxeita,Huesca,4,31,0.13,18-19,
M. Braithwaite,Leganes,4,19,0.21,18-19,
N. Araujo,Celta,3,32,0.09,18-19,
José Pozo,Vallecano,3,29,0.1,18-19,
Kike García,Eibar,3,30,0.1,18-19,
Diego Godín,Ath Madrid,3,30,0.1,18-19,
Koke,Ath Madrid,3,30,0.1,18-19,
Jonathan Silva,Leganes,3,30,0.1,18-19,
M. Hermoso,Espanol,3,32,0.09,18-19,
Ibai Gómez,Ath Bilbao,3,32,0.09,18-19,
Thomas,Ath Madrid,3,32,0.09,18-19,
Jorge Pulido,Huesca,3,32,0.09,18-19,
É. Banega,Sevilla,3,32,0.09,18-19,
B. Mayoral,Levante,3,29,0.1,18-19,
Casemiro,Real Madrid,3,29,0.1,18-19,
V. Iborra,Villarreal,3,19,0.16,18-19,
Mikel Merino,Sociedad,3,29,0.1,18-19,
E. Granero,Espanol,3,28,0.11,18-19,
Isco,Real Madrid,3,27,0.11,18-19,
D. Foulquier,Getafe,3,25,0.12,18-19,
Junior Firpo,Betis,3,24,0.13,18-19,
Rubén Sobrino,Valencia,3,24,0.13,18-19,
Dani Ceballos,Real Madrid,3,23,0.13,18-19,
Á. Medrán,Vallecano,3,21,0.14,18-19,
Rosales,Espanol,3,21,0.14,18-19,
Sergi Guardiola,Valladolid,3,20,0.15,18-19,
Marc Cardona,Eibar,3,17,0.18,18-19,
Wu Lei,Espanol,3,16,0.19,18-19,
Mariano,Real Madrid,3,13,0.23,18-19,
A. Vidal,Barcelona,3,33,0.09,18-19,
L. Messi,Barcelona,25,33,0.76,19-20,
K. Benzema,Real Madrid,21,37,0.57,19-20,
Gerard Moreno,Villarreal,18,35,0.51,19-20,
L. Suárez,Barcelona,16,28,0.57,19-20,
Raúl García,Ath Bilbao,15,35,0.43,19-20,
Iago Aspas,Celta,14,37,0.38,19-20,
Lucas Ocampos,Sevilla,14,33,0.42,19-20,
Ante Budimir,Mallorca,13,35,0.37,19-20,
Álvaro Morata,Ath Madrid,12,34,0.35,19-20,
Santi Cazorla,Villarreal,11,35,0.31,19-20,
Willian José,Sociedad,11,37,0.3,19-20,
Joselu,Alaves,11,36,0.31,19-20,
Roger Martí,Levante,11,36,0.31,19-20,
Jaime Mata,Getafe,11,34,0.32,19-20,
Lucas Pérez,Alaves,11,34,0.32,19-20,
Sergio Ramos,Real Madrid,11,35,0.31,19-20,
Ángel Rodríguez,Getafe,10,32,0.31,19-20,
Loren Morón,Betis,10,36,0.28,19-20,
Mikel Oyarzabal,Sociedad,10,37,0.27,19-20,
Carlos Fernández,Granada,10,34,0.29,19-20,
A. Griezmann,Barcelona,9,35,0.26,19-20,
Alexander Isak,Sociedad,9,37,0.24,19-20,
Maxi Gómez,Valencia,9,33,0.27,19-20,
Chimy Ávila,Osasuna,9,20,0.45,19-20,
Óscar Rodríguez,Leganes,9,30,0.3,19-20,
Fabián Orellana,Eibar,8,29,0.28,19-20,
Darwin Machís,Granada,7,36,0.19,19-20,
Portu,Sociedad,7,35,0.2,19-20,
Nabil Fekir,Betis,7,32,0.22,19-20,
Moi Gómez,Villarreal,5,37,0.14,19-20,
Wu Lei,Espanol,4,33,0.12,19-20,
Morales,Levante,4,38,0.11,19-20,
Óscar Plano,Valladolid,4,36,0.11,19-20,
Toni Kroos,Real Madrid,4,35,0.11,19-20,
Lago Junior,Mallorca,4,35,0.11,19-20,
Casemiro,Real Madrid,4,35,0.11,19-20,
Edu Expósito,Eibar,4,35,0.11,19-20,
Take Kubo,Mallorca,4,35,0.11,19-20,
Ferran Torres,Valencia,4,34,0.12,19-20,
