Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Referee,B365H,B365D,B365A,Home_PPDA,Away_PPDA
2015-09-27,Sp Gijon,Betis,1,2,A,19,13,10,5,10,4,11,9,1,1,0,0,Juan Martínez,2.3,3.2,3.3,6.233,13.952
2015-10-02,Celta,Getafe,0,0,D,18,8,7,2,9,1,11,18,1,5,0,0,Eduardo Prieto,1.44,4.5,7.5,3.257,11.321
2015-10-03,Espanol,Sp Gijon,1,2,A,13,12,9,2,9,1,17,16,3,3,0,0,Carlos Clos Gómez,2.0,3.3,4.0,7.306,7.758
2015-10-03,Granada,La Coruna,1,1,D,10,14,3,3,2,5,13,21,1,3,0,0,Iñaki Bikandi,2.6,3.2,2.8,6.048,5.97
2015-10-03,Las Palmas,Eibar,0,2,A,18,9,4,4,3,2,5,16,2,2,0,0,Antonio Matéu Lahoz,2.1,3.3,3.75,8.467,8.788
2015-10-03,Malaga,Sociedad,3,1,H,11,13,7,5,2,4,15,16,3,2,1,0,Carlos del Cerro,2.38,3.1,3.3,9.633,6.25
2015-10-03,Sevilla,Barcelona,2,1,H,12,28,5,9,7,9,16,16,5,3,0,0,Jesús Gil,4.0,3.6,1.91,9.333,5.667
2015-10-04,Ath Bilbao,Valencia,3,1,H,16,9,7,4,11,4,12,9,0,4,0,0,Daniel Ask,2.3,3.3,3.2,7.824,11.895
2015-10-04,Ath Madrid,Real Madrid,1,1,D,18,9,4,2,5,1,19,12,6,4,0,0,Alberto Undiano,3.2,3.3,2.3,9.314,8.4
2015-10-04,Levante,Villarreal,1,0,H,15,3,5,2,8,2,15,17,4,3,0,1,Alfonso Álvarez,4.33,3.4,1.91,8.96,6.4
2015-10-04,Vallecano,Betis,0,2,A,23,9,9,6,8,3,13,14,4,2,0,0,Ignacio Iglesias,2.2,3.5,3.2,2.912,10.583
2015-10-17,Barcelona,Vallecano,5,2,H,14,22,9,8,7,10,8,15,1,2,0,0,Pedro Pérez,1.14,9.0,15.0,10.069,8.419
2015-10-17,Betis,Espanol,1,3,A,21,13,6,4,4,3,18,21,2,4,0,0,Ricardo de Burgos,2.0,3.3,4.0,4.0,6.588
2015-10-17,Eibar,Sevilla,1,1,D,14,15,4,5,2,5,16,9,3,3,0,0,Juan Martínez,3.6,3.4,2.1,8.731,5.393
2015-10-17,Real Madrid,Levante,3,0,H,20,15,6,5,4,4,8,10,1,4,0,0,José Sánchez,1.08,12.0,23.0,7.156,31.2
2015-10-17,Valencia,Malaga,3,0,H,6,10,3,3,6,8,18,21,3,3,0,0,Alejandro Hernández,1.62,3.75,6.0,8.727,5.333
2015-10-18,Getafe,Las Palmas,4,0,H,14,16,7,3,5,1,18,15,2,1,0,1,David Fernández,2.15,3.2,3.6,9.694,7.483
2015-10-18,La Coruna,Ath Bilbao,2,2,D,16,7,3,2,4,6,8,18,2,2,0,0,Santiago Jaime,2.7,3.1,2.8,6.815,7.139
2015-10-18,Sociedad,Ath Madrid,0,2,A,11,7,1,3,5,2,14,11,4,5,2,0,Ignacio Iglesias,4.0,3.2,2.05,6.857,10.542
2015-10-18,Villarreal,Celta,1,2,A,12,13,3,2,7,4,10,12,1,3,1,0,José González,2.0,3.5,3.75,17.947,4.778
2015-10-19,Sp Gijon,Granada,3,3,D,16,14,6,7,6,1,10,13,3,4,0,2,Alfonso Álvarez,2.0,3.2,4.2,5.136,9.633
2015-10-23,Vallecano,Espanol,3,0,H,13,9,7,3,6,5,15,11,2,1,1,1,Eduardo Prieto,2.2,3.4,3.2,4.545,18.167
2015-10-24,Celta,Real Madrid,1,3,A,17,14,7,8,5,7,17,16,4,1,1,0,Carlos Clos Gómez,3.8,3.8,1.91,6.789,12.083
2015-10-24,Granada,Betis,1,1,D,17,7,7,2,3,3,8,11,3,3,0,0,Antonio Matéu Lahoz,2.3,3.25,3.25,7.182,5.48
2015-10-24,Malaga,La Coruna,2,0,H,9,10,4,1,3,5,11,10,0,1,0,0,Carlos Velasco,2.25,3.25,3.4,7.562,8.179
2015-10-24,Sevilla,Getafe,5,0,H,22,6,13,0,7,3,18,15,1,1,0,1,Iñaki Bikandi,1.44,4.33,8.0,8.042,13.5
2015-10-25,Ath Madrid,Valencia,2,1,H,16,6,8,1,9,2,26,10,4,4,0,0,Jesús Gil,1.57,3.8,6.5,5.453,8.857
2015-10-25,Barcelona,Eibar,3,1,H,14,7,5,5,6,2,14,18,3,5,1,0,Carlos del Cerro,1.11,10.0,19.0,4.13,13.538
2015-10-25,Las Palmas,Villarreal,0,0,D,6,5,2,0,6,6,12,14,1,2,0,0,Daniel Ask,3.5,3.25,2.2,9.556,8.538
2015-10-25,Levante,Sociedad,0,4,A,13,13,3,6,10,3,24,15,4,3,1,0,Alberto Undiano,2.63,3.2,2.8,3.828,5.375
2015-10-26,Ath Bilbao,Sp Gijon,3,0,H,20,6,6,0,9,3,8,15,1,3,0,0,Ignacio Iglesias,1.53,4.0,7.0,9.769,9.37
2015-10-30,La Coruna,Ath Madrid,1,1,D,7,12,3,3,1,5,4,9,2,0,0,0,Pedro Pérez,5.5,3.4,1.7,15.64,9.958
2015-10-31,Getafe,Barcelona,0,2,A,6,14,0,6,3,5,10,3,3,0,0,0,Juan Martínez,10.0,5.75,1.29,22.882,5.25
2015-10-31,Real Madrid,Las Palmas,3,1,H,17,8,11,5,6,3,12,9,0,3,0,0,Santiago Jaime,1.09,11.0,23.0,10.594,35.182
2015-10-31,Sociedad,Celta,2,3,A,20,16,5,8,8,7,9,12,2,5,0,0,David Fernández,2.7,3.2,2.75,10.583,4.593
2015-10-31,Valencia,Levante,3,0,H,13,10,6,5,5,5,19,21,2,3,0,0,Ricardo de Burgos,1.44,4.5,7.5,5.542,8.929
2015-10-31,Villarreal,Sevilla,2,1,H,11,6,5,3,7,5,17,14,5,3,0,0,José Sánchez,2.25,3.4,3.25,6.677,7.88
2015-11-01,Betis,Ath Bilbao,1,3,A,11,23,3,9,7,9,9,13,2,4,0,0,José González,3.25,3.25,2.3,6.643,7.72
2015-11-01,Eibar,Vallecano,1,0,H,12,6,1,2,2,6,17,11,2,3,0,0,Alfonso Álvarez,2.2,3.4,3.3,6.275,7.385
2015-11-01,Espanol,Granada,1,1,D,10,9,4,5,5,6,16,19,1,6,1,0,Alejandro Hernández,2.0,3.3,4.0,4.29,4.2
2015-11-01,Sp Gijon,Malaga,1,0,H,8,13,6,5,7,5,11,8,1,3,0,0,Antonio Matéu Lahoz,2.38,3.2,3.2,13.429,5.84
2015-11-06,Las Palmas,Sociedad,2,0,H,8,11,4,6,0,8,17,14,1,4,0,0,Carlos Velasco,2.75,3.1,2.75,9.545,6.135
2015-11-07,Celta,Valencia,1,5,A,17,9,3,5,15,5,16,27,1,3,0,0,Iñaki Bikandi,1.85,3.75,4.2,5.375,7.733
2015-11-07,Eibar,Getafe,3,1,H,16,10,7,4,5,7,13,9,3,1,0,1,Ignacio Iglesias,2.1,3.25,3.75,8.3,5.519
2015-11-07,Levante,La Coruna,1,1,D,15,9,5,5,9,5,13,10,4,2,0,0,Carlos del Cerro,2.6,3.1,2.9,7.375,14.267
2015-11-07,Malaga,Betis,0,1,A,12,7,5,2,6,3,16,12,2,5,0,0,Eduardo Prieto,1.95,3.5,4.0,3.75,9.095
2015-11-07,Vallecano,Granada,2,1,H,7,8,2,2,4,1,15,14,2,3,1,0,Jesús Gil,1.95,3.5,4.0,11.478,6.286
2015-11-08,Ath Bilbao,Espanol,2,1,H,8,5,2,1,4,5,17,25,2,6,0,0,Alberto Undiano,1.44,4.5,7.5,4.75,4.444
2015-11-08,Ath Madrid,Sp Gijon,1,0,H,15,9,3,2,5,1,14,15,4,3,0,0,Daniel Ask,1.2,6.5,17.0,2.889,16.375
2015-11-08,Barcelona,Villarreal,3,0,H,20,5,9,2,7,2,12,19,5,3,0,0,Carlos Clos Gómez,1.3,5.5,10.0,6.241,9.968
2015-11-08,Sevilla,Real Madrid,3,2,H,14,28,5,10,4,6,13,11,1,1,0,0,José González,3.6,4.0,1.91,14.55,13.524
2015-11-21,Espanol,Malaga,2,0,H,7,14,3,5,3,8,20,16,3,2,0,0,Juan Martínez,2.4,3.2,3.1,7.44,4.719
2015-11-21,La Coruna,Celta,2,0,H,5,6,2,4,2,10,16,13,6,3,0,0,Alfonso Álvarez,3.3,3.4,2.2,7.079,5.259
2015-11-21,Real Madrid,Barcelona,0,4,A,13,18,7,7,10,4,13,10,3,2,1,0,David Fernández,2.5,3.75,2.8,12.156,9.818
2015-11-21,Sociedad,Sevilla,2,0,H,14,12,7,5,7,5,6,14,2,1,0,0,Antonio Matéu Lahoz,2.63,3.3,2.7,8.389,7.452
2015-11-21,Valencia,Las Palmas,1,1,D,9,18,3,7,1,8,22,12,3,3,0,0,Pedro Pérez,1.44,4.2,7.5,10.343,8.0
2015-11-22,Betis,Ath Madrid,0,1,A,6,11,3,4,2,6,12,8,1,4,0,0,Santiago Jaime,5.5,3.8,1.67,11.76,8.185
2015-11-22,Granada,Ath Bilbao,2,0,H,8,11,1,6,2,7,21,15,6,3,0,0,Carlos del Cerro,3.75,3.3,2.1,8.967,2.943
2015-11-22,Sp Gijon,Levante,0,3,A,13,13,2,6,5,3,15,15,4,5,0,0,Mario Melero,2.2,3.2,3.5,10.684,10.571
2015-11-22,Villarreal,Eibar,1,1,D,12,17,5,7,12,6,8,13,3,2,0,1,Eduardo Prieto,1.53,4.0,7.0,4.731,11.417
2015-11-23,Getafe,Vallecano,1,1,D,15,8,8,4,5,7,20,15,5,4,0,0,Ricardo de Burgos,2.4,3.3,3.0,8.931,3.964
2015-11-27,Levante,Betis,0,1,A,14,11,1,5,7,4,12,15,6,4,1,1,José Sánchez,2.05,3.4,3.75,8.714,8.8
2015-11-28,Ath Madrid,Espanol,1,0,H,21,5,6,0,6,2,16,26,0,4,0,0,Iñaki Bikandi,1.22,6.0,15.0,7.485,6.452
2015-11-28,Barcelona,Sociedad,4,0,H,11,10,6,2,6,4,11,14,0,5,0,0,Ignacio Iglesias,1.07,13.0,23.0,15.933,11.964
2015-11-28,Celta,Sp Gijon,2,1,H,6,9,4,2,3,5,14,9,3,0,0,0,Santiago Jaime,1.4,5.0,7.5,6.0,14.957
2015-11-28,Las Palmas,La Coruna,0,2,A,8,10,5,5,6,4,14,13,4,3,0,0,Carlos Clos Gómez,2.3,3.3,3.2,5.708,13.84
2015-11-28,Malaga,Granada,2,2,D,12,11,7,4,7,4,15,20,2,6,1,0,Daniel Ask,1.83,3.4,4.75,8.652,3.852
2015-11-29,Eibar,Real Madrid,0,2,A,8,17,3,6,6,5,20,7,3,4,0,0,Jesús Gil,7.5,5.0,1.4,6.87,11.154
2015-11-29,Getafe,Villarreal,2,0,H,11,7,5,0,6,6,11,15,4,2,0,0,José González,3.0,3.3,2.4,11.476,4.242
2015-11-29,Sevilla,Valencia,1,0,H,15,0,5,0,17,0,26,20,3,2,0,2,Carlos Velasco,1.75,4.0,4.33,4.488,11.143
2015-11-29,Vallecano,Ath Bilbao,0,3,A,15,10,3,4,6,2,16,14,4,0,0,1,Alejandro Hernández,3.1,3.4,2.3,4.56,7.7
2015-12-05,Betis,Celta,1,1,D,27,5,6,1,8,0,9,16,5,5,0,1,Alejandro Hernández,3.3,3.5,2.15,5.893,8.375
2015-12-05,Granada,Ath Madrid,0,2,A,18,11,3,4,6,8,7,8,2,1,0,0,Eduardo Prieto,7.0,3.75,1.57,11.214,9.821
2015-12-05,La Coruna,Sevilla,1,1,D,8,8,4,2,6,2,10,9,2,3,0,0,Ricardo de Burgos,3.0,3.3,2.4,11.238,5.655
2015-12-05,Real Madrid,Getafe,4,1,H,16,7,8,3,3,4,9,12,1,0,0,0,Antonio Matéu Lahoz,1.1,11.0,21.0,10.042,20.474
2015-12-05,Valencia,Barcelona,1,1,D,10,16,3,5,0,6,13,15,3,1,0,0,Santiago Jaime,9.0,6.0,1.3,19.143,4.636
2015-12-06,Ath Bilbao,Malaga,0,0,D,11,7,2,2,6,1,7,21,2,3,1,0,Alfonso Álvarez,1.45,4.33,7.5,8.037,4.514
2015-12-06,Sociedad,Eibar,2,1,H,10,5,7,1,4,3,12,16,3,3,0,0,Mario Melero,1.85,3.5,4.5,6.474,10.333
2015-12-06,Sp Gijon,Las Palmas,3,1,H,21,12,9,7,8,4,9,10,2,1,0,1,Alberto Undiano,2.3,3.3,3.25,10.5,6.611
2015-12-06,Villarreal,Vallecano,2,1,H,14,8,5,4,5,4,16,14,1,4,0,0,Daniel Ask,1.57,3.8,6.5,7.194,5.387
2015-12-07,Espanol,Levante,1,1,D,9,12,1,5,2,6,13,14,4,5,0,0,Carlos Velasco,2.0,3.5,3.8,5.286,9.111
2015-12-11,Getafe,Sociedad,1,1,D,9,10,5,6,5,5,15,12,3,3,0,0,Pedro Pérez,2.88,3.2,2.6,10.286,6.08
