Player,Team,Goals,Matches Played,Coefficient,Season
Rafa Mir,Sevilla,10,34,0.29,21-22
Jorge Molina,Granada,10,35,0.29,21-22
M. Oyarzabal,Sociedad,9,22,0.41,21-22
Willian José,Betis,9,32,0.28,21-22
Gerard Moreno,Villarreal,9,17,0.53,21-22
A. Budimir,Osasuna,8,28,0.29,21-22
Sergi Guardiola,Vallecano,8,32,0.25,21-22
Pere Milla,Elche,8,32,0.25,21-22
Luis Suárez,Granada,8,37,0.22,21-22
I. Williams,Ath Bilbao,8,38,0.21,21-22
João Félix,Ath Madrid,8,24,0.33,21-22
Hugo Duro,Valencia,7,31,0.23,21-22
Santi Mina,Celta,7,33,0.21,21-22
Álvaro García,Vallecano,7,36,0.19,21-22
Á. Negredo,Cadiz,7,34,0.21,21-22
G. Melero,Levante,7,29,0.24,21-22
Roger Martí,Levante,7,29,0.24,21-22
Lucas Boyé,Elche,7,24,0.29,21-22
Y. Carrasco,Ath Madrid,6,34,0.18,21-22
Antonio Puertas,Granada,6,33,0.18,21-22
Nabil Fekir,Betis,6,34,0.18,21-22
Choco Lozano,Cadiz,6,31,0.19,21-22
Manu Trigueros,Villarreal,6,35,0.17,21-22
Raúl García,Ath Bilbao,6,35,0.17,21-22
Alexander Isak,Sociedad,6,32,0.19,21-22
Chimy Ávila,Osasuna,6,36,0.17,21-22
Yéremy Pino,Villarreal,6,31,0.19,21-22
Matheus Cunha,Ath Madrid,6,29,0.21,21-22
Oihan Sancet,Ath Bilbao,6,27,0.22,21-22
R. Falcao,Vallecano,6,22,0.27,21-22
Luuk De Jong,Barcelona,6,21,0.29,21-22
B. Mayoral,Getafe,6,18,0.33,21-22
Lucas Ocampos,Sevilla,6,30,0.2,21-22
Papu Gómez,Sevilla,5,29,0.17,21-22
Sergio Canales,Betis,5,34,0.15,21-22
Pau Torres,Villarreal,5,33,0.15,21-22
Lucas Pérez,Cadiz,5,33,0.15,21-22
Fidel,Elche,5,33,0.15,21-22
Álex Moreno,Betis,5,30,0.17,21-22
Maxi Gómez,Valencia,5,29,0.17,21-22
Salva  Mallorca,Sevilla,5,28,0.18,21-22
Boulaye Dia,Villarreal,5,25,0.2,21-22
Y. En-Nesyri,Sevilla,5,23,0.22,21-22
Erik Lamela,Sevilla,5,20,0.25,21-22
G. Escalante,Alaves,5,17,0.29,21-22
Vedat Muriqi,Mallorca,5,16,0.31,21-22
Javi Puado,Espanol,4,30,0.13,21-22
Denis Suárez,Celta,4,38,0.11,21-22
Brais Méndez,Celta,4,37,0.11,21-22
Iker Muniain,Ath Bilbao,4,35,0.11,21-22
Ivan Rakitić,Sevilla,4,35,0.11,21-22
Rubén Sobrino,Cadiz,4,34,0.12,21-22
A. Sørloth,Sociedad,4,33,0.12,21-22
Rodrygo,Real Madrid,4,33,0.12,21-22
Ronald Araujo,Barcelona,4,30,0.13,21-22
Ángel,Mallorca,4,29,0.14,21-22
A. Elustondo,Sociedad,4,30,0.13,21-22
A. Pedraza,Villarreal,4,28,0.14,21-22
Jorge De Frutos,Levante,4,25,0.16,21-22
D. Machís,Granada,4,25,0.16,21-22
Thomas Lemar,Ath Madrid,4,24,0.17,21-22
Ferran Torres,Barcelona,4,18,0.22,21-22
Ansu Fati,Barcelona,4,10,0.4,21-22
Dani Gómez,Levante,4,28,0.14,21-22
A. Griezmann,Ath Madrid,3,29,0.1,21-22
Franco Cervi,Celta,3,33,0.09,21-22
F. De Jong,Barcelona,3,32,0.09,21-22
Álex Fernández,Cadiz,3,32,0.09,21-22
Tete Morente,Elche,3,32,0.09,21-22
Óscar Trejo,Vallecano,3,32,0.09,21-22
E. Bardhi,Levante,3,30,0.1,21-22
Lucas Vázquez,Real Madrid,3,29,0.1,21-22
Íñigo Martínez,Ath Bilbao,3,27,0.11,21-22
Sandro,Getafe,3,29,0.1,21-22
Nacho,Real Madrid,3,28,0.11,21-22
S. Chukwueze,Villarreal,3,27,0.11,21-22
Alberto Moreno,Villarreal,3,24,0.13,21-22
Abdón Prats,Mallorca,3,23,0.13,21-22
R. Soldado,Levante,3,18,0.17,21-22
Pedri,Barcelona,3,12,0.25,21-22
Adnan Januzaj,Sociedad,3,33,0.09,21-22
L. Messi,Barcelona,30,35,0.86,20-21
K. Benzema,Real Madrid,23,34,0.68,20-21
Gerard Moreno,Villarreal,23,33,0.7,20-21
L. Suárez,Ath Madrid,21,32,0.66,20-21
Y. En-Nesyri,Sevilla,18,38,0.47,20-21
Alexander Isak,Sociedad,16,34,0.47,20-21
Iago Aspas,Celta,14,33,0.42,20-21
A. Griezmann,Barcelona,13,36,0.36,20-21
Morales,Levante,13,38,0.34,20-21
Rafa Mir,Huesca,13,38,0.34,20-21
Santi Mina,Celta,12,34,0.35,20-21
Kike García,Eibar,12,37,0.32,20-21
Roger Martí,Levante,12,33,0.36,20-21
M. Llorente,Ath Madrid,12,37,0.32,20-21
Borja Iglesias,Betis,11,28,0.39,20-21
A. Budimir,Osasuna,11,30,0.37,20-21
Carlos Soler,Valencia,11,32,0.34,20-21
M. Oyarzabal,Sociedad,11,33,0.33,20-21
Joselu,Alaves,11,37,0.3,20-21
R. Soldado,Granada,9,29,0.31,20-21
Brais Méndez,Celta,9,34,0.26,20-21
Ángel Correa,Ath Madrid,9,38,0.24,20-21
Á. Negredo,Cadiz,8,35,0.23,20-21
Portu,Sociedad,8,37,0.22,20-21
Álex Berenguer,Ath Bilbao,8,35,0.23,20-21
Jorge Molina,Granada,8,33,0.24,20-21
Sergio Canales,Betis,8,31,0.26,20-21
G. Melero,Levante,7,29,0.24,20-21
João Félix,Ath Madrid,7,31,0.23,20-21
Maxi Gómez,Valencia,7,31,0.23,20-21
Lucas Boyé,Elche,7,34,0.21,20-21
Roberto Torres,Osasuna,7,35,0.2,20-21
Nolito,Celta,7,36,0.19,20-21
I. Williams,Ath Bilbao,6,38,0.16,20-21
Casemiro,Real Madrid,6,34,0.18,20-21
S. Weissman,Valladolid,6,32,0.19,20-21
Y. Carrasco,Ath Madrid,6,30,0.2,20-21
F. Orellana,Valladolid,6,30,0.2,20-21
O. Dembélé,Barcelona,6,30,0.2,20-21
Fidel,Elche,6,30,0.2,20-21
P. Alcácer,Villarreal,6,27,0.22,20-21
Sandro,Huesca,6,20,0.3,20-21
Óscar Plano,Valladolid,5,36,0.14,20-21
Luka Modrić,Real Madrid,5,35,0.14,20-21
M. Asensio,Real Madrid,5,35,0.14,20-21
Lucas Ocampos,Sevilla,5,34,0.15,20-21
Raúl García,Ath Bilbao,5,34,0.15,20-21
Nabil Fekir,Betis,5,33,0.15,20-21
J. Mata,Getafe,5,33,0.15,20-21
Édgar Méndez,Alaves,5,33,0.15,20-21
Ángel,Getafe,5,33,0.15,20-21
D. Machís,Granada,5,32,0.16,20-21
G. Guedes,Valencia,5,31,0.16,20-21
Manu Vallejo,Valencia,5,30,0.17,20-21
Cristian Tello,Betis,5,29,0.17,20-21
Iker Muniain,Ath Bilbao,5,28,0.18,20-21
Luis Suárez,Granada,5,27,0.19,20-21
J. Calleri,Osasuna,5,25,0.2,20-21
C. Bacca,Villarreal,5,23,0.22,20-21
Pere Milla,Elche,4,32,0.13,20-21
Josan,Elche,4,33,0.12,20-21
Luuk De Jong,Sevilla,4,34,0.12,20-21
Luis Rioja,Alaves,4,35,0.11,20-21
Jorge De Frutos,Levante,4,37,0.11,20-21
Asier Villalibre,Ath Bilbao,4,35,0.11,20-21
D. Wass,Valencia,4,35,0.11,20-21
Bryan Gil,Eibar,4,29,0.14,20-21
Ivan Rakitić,Sevilla,4,37,0.11,20-21
Gabriel Paulista,Valencia,4,31,0.13,20-21
Moi Gómez,Villarreal,4,35,0.11,20-21
Enes Ünal,Getafe,4,28,0.14,20-21
Álex Fernández,Cadiz,4,25,0.16,20-21
Lucas Pérez,Alaves,4,28,0.14,20-21
Marcos André,Valladolid,4,23,0.17,20-21
Munir,Sevilla,4,24,0.17,20-21
Ansu Fati,Barcelona,4,7,0.57,20-21
Adnan Januzaj,Sociedad,4,27,0.15,20-21
Kévin Gameiro,Valencia,4,27,0.15,20-21
S. Chukwueze,Villarreal,4,28,0.14,20-21
Kenedy,Granada,4,28,0.14,20-21
Unai López,Ath Bilbao,3,26,0.12,20-21
Fernando,Sevilla,3,31,0.1,20-21
A. Barrenetxea,Sociedad,3,31,0.1,20-21
Choco Lozano,Cadiz,3,29,0.1,20-21
Juan Cala,Cadiz,3,28,0.11,20-21
Toni Kroos,Real Madrid,3,28,0.11,20-21
Trincão,Barcelona,3,28,0.11,20-21
Aïssa Mandi,Betis,3,28,0.11,20-21
Sergi Enrich,Eibar,3,27,0.11,20-21
Fer Niño,Villarreal,3,17,0.18,20-21
Yéremy Pino,Villarreal,3,24,0.13,20-21
F. Valverde,Real Madrid,3,24,0.13,20-21
G. Carrillo,Elche,3,21,0.14,20-21
Papu Gómez,Sevilla,3,18,0.17,20-21
Roberto López,Sociedad,3,17,0.18,20-21
A. Sanabria,Betis,3,16,0.19,20-21
E. Burgos,Eibar,3,14,0.21,20-21
E. Hazard,Real Madrid,3,14,0.21,20-21
Willian José,Sociedad,3,13,0.23,20-21
Hugo Mallo,Celta,3,31,0.1,20-21
L. Messi,Barcelona,25,33,0.76,19-20
K. Benzema,Real Madrid,21,37,0.57,19-20
Gerard Moreno,Villarreal,18,35,0.51,19-20
L. Suárez,Barcelona,16,28,0.57,19-20
Raúl García,Ath Bilbao,15,35,0.43,19-20
Iago Aspas,Celta,14,37,0.38,19-20
Lucas Ocampos,Sevilla,14,33,0.42,19-20
Ante Budimir,Mallorca,13,35,0.37,19-20
Álvaro Morata,Ath Madrid,12,34,0.35,19-20
Santi Cazorla,Villarreal,11,35,0.31,19-20
Willian José,Sociedad,11,37,0.3,19-20
Joselu,Alaves,11,36,0.31,19-20
Roger Martí,Levante,11,36,0.31,19-20
Jaime Mata,Getafe,11,34,0.32,19-20
Lucas Pérez,Alaves,11,34,0.32,19-20
Sergio Ramos,Real Madrid,11,35,0.31,19-20
Ángel Rodríguez,Getafe,10,32,0.31,19-20
Loren Morón,Betis,10,36,0.28,19-20
Mikel Oyarzabal,Sociedad,10,37,0.27,19-20
Carlos Fernández,Granada,10,34,0.29,19-20
A. Griezmann,Barcelona,9,35,0.26,19-20
Alexander Isak,Sociedad,9,37,0.24,19-20
Maxi Gómez,Valencia,9,33,0.27,19-20
Chimy Ávila,Osasuna,9,20,0.45,19-20
Óscar Rodríguez,Leganes,9,30,0.3,19-20
Fabián Orellana,Eibar,8,29,0.28,19-20
Darwin Machís,Granada,7,36,0.19,19-20
Portu,Sociedad,7,35,0.2,19-20
Nabil Fekir,Betis,7,32,0.22,19-20
Moi Gómez,Villarreal,5,37,0.14,19-20
Wu Lei,Espanol,4,33,0.12,19-20
Morales,Levante,4,38,0.11,19-20
Óscar Plano,Valladolid,4,36,0.11,19-20
Toni Kroos,Real Madrid,4,35,0.11,19-20
Lago Junior,Mallorca,4,35,0.11,19-20
Casemiro,Real Madrid,4,35,0.11,19-20
Edu Expósito,Eibar,4,35,0.11,19-20
Take Kubo,Mallorca,4,35,0.11,19-20
Ferran Torres,Valencia,4,34,0.12,19-20
Rodrigo Moreno,Valencia,4,27,0.15,19-20
David López,Espanol,4,32,0.13,19-20
Koke,Ath Madrid,4,32,0.13,19-20
M. Ødegaard,Sociedad,4,31,0.13,19-20
Rubén Rochina,Levante,4,28,0.14,19-20
Adnan Januzaj,Sociedad,4,24,0.17,19-20
Raúl De Tomás,Espanol,4,14,0.29,19-20
P. Alcácer,Villarreal,4,13,0.31,19-20
Rafinha,Celta,4,32,0.13,19-20
Vitolo,Ath Madrid,3,28,0.11,19-20
Luka Modrić,Real Madrid,3,31,0.1,19-20
F. Vázquez,Sevilla,3,31,0.1,19-20
Marc Bartra,Betis,3,30,0.1,19-20
Aridane,Osasuna,3,29,0.1,19-20
M. Llorente,Ath Madrid,3,29,0.1,19-20
Vinícius,Real Madrid,3,29,0.1,19-20
Óliver Torres,Sevilla,3,28,0.11,19-20
A. Vadillo,Granada,3,22,0.14,19-20
Bernardo,Espanol,3,26,0.12,19-20
Sandro,Valladolid,3,24,0.13,19-20
P. Bigas,Eibar,3,23,0.13,19-20
David Timor,Getafe,3,22,0.14,19-20
Arthur,Barcelona,3,21,0.14,19-20
Enric Gallego,Osasuna,3,19,0.16,19-20
Asier Villalibre,Ath Bilbao,3,19,0.16,19-20
M. Asensio,Real Madrid,3,9,0.33,19-20
É. Banega,Sevilla,3,33,0.09,19-20
L. Messi,Barcelona,36,34,1.06,18-19
K. Benzema,Real Madrid,21,36,0.58,18-19
L. Suárez,Barcelona,21,33,0.64,18-19
Iago Aspas,Celta,20,27,0.74,18-19
C. Stuani,Girona,19,32,0.59,18-19
W. Ben Yedder,Sevilla,18,35,0.51,18-19
Borja Iglesias,Espanol,17,37,0.46,18-19
A. Griezmann,Ath Madrid,15,37,0.41,18-19
J. Mata,Getafe,14,34,0.41,18-19
Jorge Molina,Getafe,14,38,0.37,18-19
Charles,Eibar,14,34,0.41,18-19
Raúl De Tomás,Vallecano,14,33,0.42,18-19
Roger Martí,Levante,13,31,0.42,18-19
M. Oyarzabal,Sociedad,13,37,0.35,18-19
Maxi Gómez,Celta,13,35,0.37,18-19
Pablo Sarabia,Sevilla,12,33,0.36,18-19
Morales,Levante,12,37,0.32,18-19
I. Williams,Ath Bilbao,12,38,0.32,18-19
Willian José,Sociedad,11,31,0.35,18-19
