Season,Team,Date,h_a,PPDA,OPPDA
15-16,Deportivo La Coruna,2016-02-01 23:30:00,h,6.344827586206897,6.583333333333333
15-16,Deportivo La Coruna,2016-02-07 01:05:00,a,4.935483870967742,9.125
15-16,Deportivo La Coruna,2016-02-14 01:05:00,h,5.78125,7.904761904761905
15-16,Deportivo La Coruna,2016-02-20 21:15:00,a,7.647058823529412,8.709677419354838
15-16,Deportivo La Coruna,2016-02-28 21:15:00,h,5.0,13.368421052631579
15-16,Deportivo La Coruna,2016-03-02 23:00:00,a,13.291666666666666,12.68421052631579
15-16,Deportivo La Coruna,2016-03-06 01:05:00,h,9.80952380952381,11.65
15-16,Deportivo La Coruna,2016-03-12 23:30:00,a,15.461538461538462,12.863636363636363
15-16,Deportivo La Coruna,2016-03-19 23:30:00,h,13.375,10.277777777777779
15-16,Deportivo La Coruna,2016-04-03 00:05:00,a,12.826086956521738,4.6923076923076925
15-16,Deportivo La Coruna,2016-04-11 22:30:00,h,12.193548387096774,11.375
15-16,Deportivo La Coruna,2016-04-17 18:00:00,a,12.72,10.2
15-16,Deportivo La Coruna,2016-04-20 22:00:00,h,19.857142857142858,8.842105263157896
15-16,Deportivo La Coruna,2016-04-24 00:05:00,a,9.722222222222221,7.576923076923077
15-16,Deportivo La Coruna,2016-05-01 20:15:00,h,6.866666666666666,6.708333333333333
15-16,Deportivo La Coruna,2016-05-08 19:00:00,a,28.833333333333332,8.142857142857142
15-16,Deportivo La Coruna,2016-05-14 19:00:00,h,21.0,9.666666666666666
15-16,Real Sociedad,2015-08-22 20:30:00,a,13.55,7.882352941176471
15-16,Real Sociedad,2015-08-29 20:30:00,h,6.8,23.181818181818183
15-16,Real Sociedad,2015-09-13 00:00:00,a,5.541666666666667,7.884615384615385
15-16,Real Sociedad,2015-09-20 00:00:00,h,9.541666666666666,8.6
15-16,Real Sociedad,2015-09-23 00:00:00,a,7.291666666666667,5.5625
15-16,Real Sociedad,2015-09-27 22:30:00,h,6.533333333333333,4.794117647058823
15-16,Real Sociedad,2015-10-04 00:05:00,a,6.25,9.633333333333333
15-16,Real Sociedad,2015-10-18 18:00:00,h,6.857142857142857,10.541666666666666
15-16,Real Sociedad,2015-10-25 15:00:00,a,5.375,3.8275862068965516
15-16,Real Sociedad,2015-11-01 01:05:00,h,10.583333333333334,4.592592592592593
15-16,Real Sociedad,2015-11-06 23:30:00,a,6.135135135135135,9.545454545454545
15-16,Real Sociedad,2015-11-21 19:00:00,h,8.38888888888889,7.451612903225806
15-16,Real Sociedad,2015-11-28 19:00:00,a,11.964285714285714,15.933333333333334
15-16,Real Sociedad,2015-12-06 15:00:00,h,6.473684210526316,10.333333333333334
15-16,Real Sociedad,2015-12-11 23:30:00,a,6.08,10.285714285714286
15-16,Real Sociedad,2015-12-20 21:15:00,h,14.333333333333334,10.774193548387096
15-16,Real Sociedad,2015-12-30 19:00:00,a,14.5,15.235294117647058
15-16,Real Sociedad,2016-01-03 15:00:00,a,4.296296296296297,7.428571428571429
15-16,Real Sociedad,2016-01-10 19:00:00,h,6.0,12.647058823529411
15-16,Real Sociedad,2016-01-17 01:05:00,h,7.04,23.727272727272727
15-16,Real Sociedad,2016-01-22 23:30:00,a,4.555555555555555,11.2
15-16,Real Sociedad,2016-01-31 01:05:00,h,7.527777777777778,22.7
15-16,Real Sociedad,2016-02-08 23:30:00,a,9.28125,4.142857142857143
15-16,Real Sociedad,2016-02-14 15:00:00,h,5.96969696969697,4.628571428571429
15-16,Real Sociedad,2016-02-21 21:15:00,a,8.56,3.0
15-16,Real Sociedad,2016-02-28 01:05:00,h,5.592592592592593,9.047619047619047
15-16,Real Sociedad,2016-03-02 00:00:00,a,12.16,9.966666666666667
15-16,Real Sociedad,2016-03-06 21:15:00,h,5.472222222222222,8.56
15-16,Real Sociedad,2016-03-12 21:15:00,a,6.689655172413793,9.222222222222221
15-16,Real Sociedad,2016-03-19 21:15:00,h,5.866666666666666,12.136363636363637
15-16,Real Sociedad,2016-04-03 22:30:00,a,10.0,4.206896551724138
15-16,Real Sociedad,2016-04-09 22:30:00,h,14.736842105263158,2.878787878787879
15-16,Real Sociedad,2016-04-16 22:30:00,a,4.823529411764706,5.75
15-16,Real Sociedad,2016-04-21 22:30:00,h,5.277777777777778,7.485714285714286
15-16,Real Sociedad,2016-04-24 22:30:00,a,8.571428571428571,9.575757575757576
15-16,Real Sociedad,2016-04-30 18:00:00,h,9.32258064516129,6.709677419354839
15-16,Real Sociedad,2016-05-08 19:00:00,h,16.705882352941178,5.407407407407407
15-16,Real Sociedad,2016-05-13 22:30:00,a,5.333333333333333,5.722222222222222
15-16,Espanyol,2015-08-22 20:30:00,h,10.428571428571429,4.379310344827586
15-16,Espanyol,2015-08-28 22:30:00,a,12.761904761904763,6.1875
15-16,Espanyol,2015-09-12 18:00:00,h,8.787878787878787,13.842105263157896
15-16,Espanyol,2015-09-20 00:00:00,a,8.6,9.541666666666666
15-16,Espanyol,2015-09-22 22:00:00,h,7.34375,5.620689655172414
15-16,Espanyol,2015-09-27 18:00:00,a,14.0,14.210526315789474
15-16,Espanyol,2015-10-03 22:30:00,h,7.305555555555555,7.757575757575758
15-16,Espanyol,2015-10-18 00:05:00,a,6.588235294117647,4.0
15-16,Espanyol,2015-10-23 22:30:00,a,18.166666666666668,4.545454545454546
15-16,Espanyol,2015-11-01 19:00:00,h,4.290322580645161,4.2
15-16,Espanyol,2015-11-08 15:00:00,a,4.444444444444445,4.75
15-16,Espanyol,2015-11-21 23:30:00,h,7.44,4.71875
15-16,Espanyol,2015-11-28 21:15:00,a,6.451612903225806,7.484848484848484
15-16,Espanyol,2015-12-07 23:30:00,h,5.285714285714286,9.11111111111111
15-16,Espanyol,2015-12-12 21:15:00,a,5.666666666666667,8.478260869565217
15-16,Espanyol,2015-12-19 21:15:00,h,5.319148936170213,7.516129032258065
15-16,Espanyol,2015-12-30 21:15:00,a,7.857142857142857,9.678571428571429
15-16,Espanyol,2016-01-02 19:00:00,h,6.595744680851064,2.5454545454545454
15-16,Espanyol,2016-01-10 21:15:00,a,5.714285714285714,7.074074074074074
15-16,Espanyol,2016-01-17 21:15:00,a,5.451612903225806,22.8125
15-16,Espanyol,2016-01-23 21:15:00,h,11.076923076923077,9.076923076923077
15-16,Espanyol,2016-01-31 23:30:00,a,15.26086956521739,5.533333333333333
15-16,Espanyol,2016-02-08 23:30:00,h,4.142857142857143,9.28125
15-16,Espanyol,2016-02-13 23:30:00,a,6.428571428571429,5.476190476190476
15-16,Espanyol,2016-02-20 21:15:00,h,8.709677419354838,7.647058823529412
15-16,Espanyol,2016-02-27 21:15:00,a,5.842105263157895,6.5
